 # Radius [km]   Gravitational mass [M_sol]
   26.320000000000000       0.13001248005102084     
   17.340000000000000       0.19310025321759136     
   15.202000000000000       0.24988141845253065     
   14.284000000000001       0.30282480086931474     
   13.800000000000001       0.35287845165482867     
   13.516000000000000       0.40043585445186991     
   13.340000000000000       0.44575745634076946     
   13.227000000000000       0.48918779108957028     
   13.154000000000000       0.53093110317756886     
   13.106000000000000       0.57079606373123171     
   13.076000000000001       0.60933592035543682     
   13.058000000000000       0.64654101193761560     
   13.048000000000000       0.68230638985905478     
   13.045000000000000       0.71670827155834282     
   13.045000000000000       0.75011433041144304     
   13.048999999999999       0.78249764956106638     
   13.055000000000000       0.81382359390017578     
   13.063000000000001       0.84407907378729075     
   13.071000000000000       0.87329893782632317     
   13.081000000000000       0.90172540900533171     
   13.090000000000000       0.92939283725973110     
   13.101000000000001       0.95629226471501483     
   13.111000000000001       0.98242226616896011     
   13.121000000000000        1.0077873120518459     
   13.131000000000000        1.0323964683853666     
   13.141000000000000        1.0562714786135012     
   13.151000000000000        1.0795495909132178     
   13.160000000000000        1.1022739031613689     
   13.169000000000000        1.1244472077445935     
   13.178000000000001        1.1460740889498358     
   13.186000000000000        1.1671608991686115     
   13.194000000000001        1.1877154093946487     
   13.202000000000000        1.2077465418408622     
   13.209000000000000        1.2272641610623678     
   13.215999999999999        1.2462787895452792     
   13.223000000000001        1.2648244219514315     
   13.228999999999999        1.2829737501772949     
   13.234999999999999        1.3007365419557675     
   13.240000000000000        1.3181184365773275     
   13.246000000000000        1.3351252443918942     
   13.250999999999999        1.3517630786533661     
   13.255000000000001        1.3680382975296139     
   13.260000000000000        1.3839574909986556     
   13.263999999999999        1.3995274091740562     
   13.268000000000001        1.4147549783587587     
   13.271000000000001        1.4296471926010015     
   13.275000000000000        1.4442110990660397     
   13.278000000000000        1.4584537946008829     
   13.279999999999999        1.4724020656764572     
   13.282999999999999        1.4860871696072193     
   13.285000000000000        1.4995143182224051     
   13.287000000000001        1.5126881216571164     
   13.289000000000000        1.5256131056957132     
   13.291000000000000        1.5382937084899886     
   13.292000000000000        1.5507343350915754     
   13.294000000000000        1.5629393893350982     
   13.295000000000000        1.5749132361127256     
   13.295999999999999        1.5866602377823600     
   13.297000000000001        1.5981846934876194     
   13.297000000000001        1.6094909458653910     
   13.298000000000000        1.6205831999085756     
   13.298000000000000        1.6314656863207535     
   13.298999999999999        1.6421425790709350     
   13.298000000000000        1.6526179942828854     
   13.298000000000000        1.6628964515370828     
   13.298000000000000        1.6729961924964731     
   13.298000000000000        1.6829278273790658     
   13.298000000000000        1.6926946490655375     
   13.297000000000001        1.7022997064532586     
   13.295999999999999        1.7117459192995481     
   13.298000000000000        1.7210360922856291     
   13.295999999999999        1.7301729962158039     
   13.303000000000001        1.7391593231571101     
   13.294000000000000        1.7479977096107864     
   13.289999999999999        1.7566907774255638     
   13.289999999999999        1.7652410806625092     
   13.287000000000001        1.7736511455181707     
   13.287000000000001        1.7819234582034660     
   13.285000000000000        1.7900604600025907     
   13.285000000000000        1.7980645491822080     
   13.282999999999999        1.8059380943365244     
   13.282000000000000        1.8136834470866294     
   13.278000000000000        1.8213028663564987     
   13.276000000000000        1.8287986392034123     
   13.273999999999999        1.8361729518084118     
   13.273000000000000        1.8434279998994449     
   13.269000000000000        1.8505677377252814     
   13.266999999999999        1.8576016528496326     
   13.265000000000001        1.8645326562307143     
   13.262000000000000        1.8713626163517953     
   13.260000000000000        1.8780932914471107     
   13.257000000000000        1.8847263624600388     
   13.255000000000001        1.8912634762644034     
   13.252000000000001        1.8977061856169333     
   13.249000000000001        1.9040560450275108     
   13.253000000000000        1.9103145675335538     
   13.244000000000000        1.9164831985477753     
   13.241000000000000        1.9225634135315093     
   13.238000000000000        1.9285566027894931     
   13.234999999999999        1.9344641736038692     
   13.231999999999999        1.9402874733028819     
   13.228999999999999        1.9460278599824368     
   13.226000000000001        1.9516866337019303     
   13.223000000000001        1.9572650892862613     
   13.220000000000001        1.9627645156118190     
   13.217000000000001        1.9681861377172081     
   13.214000000000000        1.9735312006973020     
   13.211000000000000        1.9788008976278397     
   13.208000000000000        1.9839964268563279     
   13.204000000000001        1.9891189284907964     
   13.201000000000001        1.9941695835633859     
   13.198000000000000        1.9991495062177931     
   13.196000000000000        2.0040597795964188     
   13.191000000000001        2.0089015438517386     
   13.188000000000001        2.0136784089360575     
   13.185000000000000        2.0183933899174571     
   13.180999999999999        2.0230475640216583     
   13.178000000000001        2.0276419444126907     
   13.173999999999999        2.0321774509985691     
   13.170999999999999        2.0366549988662443     
   13.167000000000000        2.0410754758979133     
   13.164000000000000        2.0454397042775065     
   13.160000000000000        2.0497485390071581     
   13.157999999999999        2.0540027597664499     
   13.153000000000000        2.0582031962244205     
   13.148999999999999        2.0623505818861392     
   13.146000000000001        2.0664457105477991     
   13.141999999999999        2.0704893051655393     
   13.138999999999999        2.0744821090015009     
   13.135000000000000        2.0784248282286883     
   13.131000000000000        2.0823181931391890     
   13.128000000000000        2.0861628467185356     
   13.124000000000001        2.0899595247033544     
   13.119999999999999        2.0937088733281506     
   13.118000000000000        2.0974115394094763     
   13.113000000000000        2.1010681939759275     
   13.109000000000000        2.1046794538592075     
   13.105000000000000        2.1082459484213092     
   13.102000000000000        2.1117682934906044     
   13.098000000000001        2.1152471099533035     
   13.093999999999999        2.1186829747581548     
   13.090000000000000        2.1220764927122353     
   13.087000000000000        2.1254282270586553     
   13.083000000000000        2.1287387503101369     
   13.079000000000001        2.1320086330177190     
   13.074999999999999        2.1352383983053684     
