simulation_id,mass1,mass2,spin1x,spin1y,spin1z,spin2x,spin2y,spin2z,distance,inclination,coa_phase,polarization,longitude,latitude,geocent_end_time,geocent_end_time_ns
sim_inspiral:simulation_id:1207,7.921468,1.447452,0.0008927864,0.005452286,0.01463777,-0.02290386,0.01615416,-0.008155728,385.2663,2.880996,0.5208055,1.402284,4.106599,-0.8574825,1342379679,405841890
sim_inspiral:simulation_id:1232,7.455829,1.322228,-0.1780507,-0.2887905,0.3487345,-0.01854915,0.02571369,-0.01532315,355.6705,0.4279405,5.251315,5.841709,1.847134,-0.3229764,1342758685,335428428
sim_inspiral:simulation_id:1240,8.657701,1.311096,0.09969784,-0.1787917,-0.2041841,0.04001226,-0.02449103,0.01416675,358.0867,0.72756,4.068097,0.8593532,3.05018,0.5408253,1342914766,557054710
sim_inspiral:simulation_id:1242,8.269258,1.435224,0.307239,0.1838629,-0.2294196,0.01146839,0.02359856,0.0197373,171.2814,1.572689,0.3697046,0.1952323,2.186258,-1.268972,1342940823,854759478
sim_inspiral:simulation_id:1261,7.588049,1.267913,0.01045619,0.008769271,0.1142346,0.005443271,-0.002547638,0.02515059,323.8087,2.730231,0.427754,1.16592,1.367817,0.2415131,1343300075,116083421
sim_inspiral:simulation_id:1266,9.713708,1.442906,0.1160113,-0.3073748,-0.2457839,0.01179417,0.004355284,-0.01626116,235.741,1.139336,1.633587,3.367989,0.4713318,0.3167421,1343376680,28502675
sim_inspiral:simulation_id:1267,8.920826,1.254952,0.07555981,0.1649883,0.1141834,0.02763878,-0.01449293,-0.0362286,432.2682,0.5013734,4.370692,6.113132,5.966472,0.5808596,1343377422,87122558
sim_inspiral:simulation_id:1273,6.603445,1.567942,0.1585914,0.2839392,0.2918268,-0.0340332,0.004969589,-0.003202248,396.2158,2.546247,4.00759,2.61717,1.092889,1.339117,1343505433,514544627
sim_inspiral:simulation_id:1286,9.367596,1.307256,0.08359195,0.2578213,-0.07819967,-0.02042308,0.03504048,-0.01929417,133.1927,2.5577,1.186885,1.669235,2.553435,0.02033362,1343642516,546606104
sim_inspiral:simulation_id:1291,7.789908,1.55734,0.2856162,-0.1857612,0.03518368,0.008824594,-0.03204763,0.03620843,419.8706,2.259001,3.963343,5.622799,4.615108,0.4082811,1343792512,685099318
